Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
40.25716/TO,"DELFIN ULTRACONGELADOS, S.A.",Toledo/ONTIGOLA,"CS, RW",,,
10.22007/AB,"PRODUCTOS CARNICOS ALBACETE, S.L.",Albacete/ALBACETE,"CS, CP, MM, MP, PP",,"BL, MP",
40.25773/TO,"VEREDA SEIS, S.A.L.",Toledo/TALAVERA DE LA REINA,CS,,,
40.25891/GU,"ROYALMAR, S.L.",Guadalajara/GUADALAJARA,CS,,,
10.22090/TO,"CARNICAS TORRECAZA, S.L.",Toledo/TORRE DE ESTEBAN HAMBRAN (LA),"CP, GHE","wL, wA",,
12.18162/TO,"FRIGORIFICOS CAMARENA, S.A.",Toledo/CAMARENA,"PP, FFP",,,
26.10738/TO,"EL MONTERO J.G., S.L.",Toledo/TALAVERA DE LA REINA,PP,,MP,
26.10739/TO,"LA CATEDRAL DE LA CAZA, S.L.",Toledo/YEBENES (LOS),PP,,MP,
40.26037/TO,"ELPA FACTORY PATATA, S.L.",Toledo/ESCALONILLA,CS,,,
10.22190/CU,JAMONES FlLlLLOS S L,Cuenca/VILLALBA DE LA SIERRA,"CS, MM, MP, PP",,MP,
15.06827/CR,"VEGAJARDIN, SL.",Ciudad Real/CIUDAD REAL,PP,,,
40.26266/CU,"PESCADOS CERVERA, S.A.",Cuenca/MOTILLA DEL PALANCAR,"CS, RW",,,
40.26268/TO,"APERITIVOS CARREÑO, SLL.",Toledo/TOBOSO (EL),CS,,,
40.26560/CU,"QUESOS ARTESANOS MEDINA, S.L.",Cuenca/TORREJONCILLO DEL REY,CS,,,
40.26569/TO,"DIGI-CAFE EXPRESS, S.L.",Toledo/TOLEDO,CS,,,
26.11045/CR,"CANUTO GALINDO, ROGELIO",Ciudad Real/VALDEPEÑAS,"RW, PP",,MP,
40.26643/AB,"BODEGAS LA GOLETA, S.L.",Albacete/CAUDETE,CS,,,
10.22480/CR,"MATADERO FRIGORIFICO DE AGUDO, S.L.",Ciudad Real/AGUDO,"CS, SH, CP","P, B, C, O",,
10.22559/TO,"FRESCOS Y ELABORADOS DEL PORCINO, S.L.",Toledo/VILLAFRANCA DE LOS CABALLEROS,"SH, CP, MM, MP, PP",P,MP,
40.26767/TO,"EMBUTIDOS PLACIDO SANCHEZ, S.L.",Toledo/QUINTANAR DE LA ORDEN,CS,,,
40.26768/TO,"FERTOFRIO, S.A.",Toledo/SANTA OLALLA,CS,,,
40.26875/AB,"DELAOSSA ALIMENTACIÓN, S.L.",Albacete/ALBACETE,CS,,,
40.26921/TO,"DISTRIBUCIONES DE ALIMENTACION REFRIGERADA ANTONA LOPEZ, S.L.",Toledo/TALAVERA DE LA REINA,CS,,,
10.22666/CR,"EMBUTIDOS ARTESANOS DEL PUEBLO, S.L.",Ciudad Real/HERENCIA,"CP, MM, MP, PP",,MP,
10.22669/CU,"GOURMET CASA EL BALA, S.L.",Cuenca/MOTILLA DEL PALANCAR,"CP, PP",,MP,
