Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.17386/GE,FARRÉ LOGÍSTICS SLU,Girona/CALDES DE MALAVELLA,CS,,,
10.17390/B,GASCH CANSALADERS SL,Barcelona/BARCELONA,"MM, MP, PP",,MP,
10.17391/B,TRANSPORTS FRIGORIFICS ESTEVE SL,Barcelona/SEVA,"CS, CP",,,
26.07520/T,CONCESIONES DE RESTAURANTES Y BARES (COREBAR SL),Tarragona/TARRAGONA,PP,,MP,
40.17942/B,TRANSPORTS FRIGORIFICS ESTEVE SL,Barcelona/SEVA,CS,,,
40.17999/GE,SANT DALMAI SAU,Girona/VILOBI D'ONYAR,CS,,,
10.17435/T,MULET AND HIDALGO SL,Tarragona/TORTOSA,"RW, CP",,MP,
10.17439/GE,"BECH CASTELLO, JOAN",Girona/PERALADA,PP,,MP,
10.17441/B,GENERAL MARKETS FOOD IBERICA SAU,Barcelona/SANT ADRIA DE BESOS,"MM, MP",,,
15.04811/B,SUCESORES DE J. PONT SA,Barcelona/BALENYA,RW,,,
40.18015/B,TRICARNS 2001 SL,Barcelona/RUBI,CS,,,
40.18024/B,CONGELATS BADAR SL,Barcelona/PRAT DE LLOBREGAT (EL),CS,,,
12.13315/B,CAL FEDERAL SL,Barcelona/CANET DE MAR,RW,,,
12.13316/GE,PEIXOS PORTBOU CB,Girona/PORTBOU,CS,,,
40.18076/B,NATURECO SL,Barcelona/MOIA,CS,,,
10.17514/GE,CARNS BUXEDA SL,Girona/GIRONA,"CS, CP, MM, MP",,,
40.18127/B,IBERICSA SL,Barcelona/OLESA DE MONTSERRAT,CS,,,
26.07611/B,"FOOD SERVICE DIESA, .S.L.",Barcelona/SANT FRUITOS DE BAGES,PP,,MP,
12.13471/T,CABOPESCA LA RÀPITA SLU,Tarragona/SANT CARLES DE LA RAPITA,"DC, FFP",,,
40.18233/B,LUANUR SL,Barcelona/HOSPITALET DE LLOBREGAT (L'),CS,,,
40.18252/B,PRODUCTES ALIMENTARIS LA PERLA S.L.,Barcelona/ROCA DEL VALLES (LA),CS,,,
26.07637/B,AMETLLERORIGENOBRADORS SL,Barcelona/OLERDOLA,PP,,MP,
40.18269/GE,CONGELATS SALMA SL,Girona/FORTIA,CS,,,
10.17667/T,MAKRO AUTOSERVICIO MAYORISTA SA,Tarragona/TARRAGONA,CP,,,
40.18308/T,MAKRO AUTOSERVICIO MAYORISTA SA,Tarragona/TARRAGONA,CS,,,
40.18328/B,JAUME BARTOLI SL,Barcelona/SANTA PERPETUA DE MOGODA,CS,,,
40.18332/B,DISTRIBUCIONES ENRIC SERRES SL,Barcelona/BARCELONA,CS,,,
14.02321/L,AGROPECUARIA DE GUISSONA SCL,Lleida/PUIGGROS,EPC,,,
26.07660/B,APATS HNOS CASTILLO SL,Barcelona/BARCELONA,PP,,MP,
40.18375/T,DISTRIBUCIONS JORAL S.A.,Tarragona/CONSTANTI,CS,,,
10.17713/B,FIBRACO 1998 SL,Barcelona/SANT ANDREU DE LA BARCA,"CS, PP",,ST,
12.13613/GE,TRANS-PEIX BLAU SL,Girona/SANT FELIU DE BUIXALLEU,PP,,,
40.18400/B,EIS MARITIMO SA,Barcelona/BARCELONA,CS,,,
40.18433/L,DISTRIBUCIONES RAMON LORITE SL,Lleida/VILA-SANA,"CS, RW",,,
10.17742/B,"SAMSO MEREGALLI, ANTONIO",Barcelona/BARCELONA,"MM, MP, PP",,MP,
12.13636/B,MARBLAVA PEIXOS I MARISC SL,Barcelona/SITGES,"CS, FFP",,,
40.18442/T,SENDRA GERMANS SA,Tarragona/REUS,CS,,,
40.18475/B,"RUIZ ALABARCE, JUAN",Barcelona/MATARO,CS,,,
12.13665/B,WILDFISH SL,Barcelona/SENTMENAT,"CS, PP",,,
12.13668/B,PASAPESCA SA,Barcelona/BARCELONA,WM,,,
12.13669/B,MORAN-GEL SL,Barcelona/CABANYES (LES),"CS, PP, FFP",,,
12.13671/B,OTABARNA SA,Barcelona/BARCELONA,WM,,,
40.18500/B,MORAN-GEL SL,Barcelona/CABANYES (LES),"CS, RW",,,
40.18578/GE,LA LLORETENSE JOVE SL,Girona/LLORET DE MAR,CS,,,
10.17899/B,"FABREGAS CORTINAS, SALVADOR",Barcelona/GURB,"CS, MM, MP, PP",,MP,
10.17902/B,CARNES OLESA SL,Barcelona/OLESA DE MONTSERRAT,"CP, MM, MP, PP",,MP,
10.17910/B,ULTRACARN SL,Barcelona/ROCA DEL VALLES (LA),"CS, RW",,MP,
10.17938/B,JAUME ARTIGAS CASELLAS S.A.,Barcelona/SALLENT,"CS, CP, MM, MP",,,
10.17955/B,BOSCH I CASALS EMBOTITS ARTESANS SL,Barcelona/SANT FELIU SASSERRA,PP,,MP,
10.17974/B,"FORASTE ESTEBAN, MARIA TERESA",Barcelona/BARCELONA,RW,,MP,
10.17978/B,TAKIPOLL SL,Barcelona/SEVA,,,,
12.13817/L,"SILLERO CLAVERO, JULIÁN",Lleida/LLADORRE,FFP,,,
12.13832/B,PESCADOS CONDE SL,Barcelona/BARCELONA,"WM, FFP",,,
12.13835/L,CASERFRI SL,Lleida/ALCOLETGE,CS,,,
