Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
40.066122/P,"CORPORACION ALIMENTARIA GUISSONA, S.A.",Palencia/PALENCIA,CS,,,
14.003388/AV,"CAMPEROS MAELLO, S.L.",Ávila/MAELLO,EPC,,,
10.026752/ZA,"INDUSTRIAS CARNICAS PASCUALIN, S.L.",Zamora/TABARA,"CS, CP",,,
10.026760/SG,JOSE LUIS SANZ SACRISTAN,Segovia/CANTALEJO,"MM, MP, PP",,MP,
26.018575/VA,SANDRA SIXTO PEÑA,Valladolid/MAYORGA,PP,,MP,
40.066340/VA,"DAYMARVE, S.L.",Valladolid/VALLADOLID,CS,,,
40.066466/P,"LA PARRA, S.C.",Palencia/PALENCIA,CS,,,
10.026774/AV,"CARNES LA VIÑUELA, S.L.U.",Ávila/NAVALUENGA,CP,,,
14.003395/SA,"HOTEL CRUCE DE MIRANDA 2017, S.L.",Salamanca/CARRASCAL DEL OBISPO,EPC,,,
10.026784/BU,RAQUEL DIEZ IBAÑEZ,Burgos/CASTRILLO DE LA REINA,PP,,MP,
40.066586/LE,"CERVECERA LEONESA, S.L.",León/PONFERRADA,CS,,,
40.066664/ZA,"QUESOS DEL DUERO, S.A.",Zamora/TORO,CS,,,
10.026810/SA,"RODILLA & GONZALEZ PRODUCTOS AGROALIMENTARIOS, S.L.",Salamanca/GUIJUELO,"RW, PP",,MP,
40.066734/ZA,"CARNICAS FERSANZ, S.L.",Zamora/ANDAVIAS,RW,,,
40.066856/SA,"CONGELADOS SALUDA, S.L.",Salamanca/POLIGONO INDUSTRIAL,CS,,,
10.026820/VA,"DEOVINO, S.L.",Valladolid/TORDESILLAS,"CS, CP",,,
10.026841/SA,"IBERPORC TRADING GROUP, S.L.",Salamanca/GUIJUELO,PP,,MP,
10.026842/LE,"CARNICAS MARBA, S.L.",León/OTERUELO DE LA VALDONCINA,"CS, CP",,,
40.067058/SA,"ENABOY CASTILLA, S.L.",Salamanca/SALAMANCA,"CS, WM",,,
40.067132/SA,"DOMINGUEZ DE LA PEÑA, S.L.",Salamanca/BARBADILLO,CS,,,
40.067157/SO,"FACUVEN PRODUCTOS SILVESTRES, S.L.",Soria/CABREJAS DEL PINAR,"CS, RW",,,
26.018811/SO,"FACUVEN PRODUCTOS SILVESTRES, S.L.",Soria/CABREJAS DEL PINAR,PP,,,
40.067164/P,"QUESOS EL AFINADOR, S.L.",Palencia/VENTA DE BAÑOS,"CS, RW",,,
40.067184/ZA,SUSANA JUAREZ PEREZ,Zamora/ZAMORA,CS,,,
26.018825/BU,"HERMANAS SANTAMARMA, S.L.",Burgos/TORRESANDINO,PP,,MP,
10.026865/SA,"SAT 9892 VALLEHERMOSO, S.R.L.",Salamanca/SALAMANCA,"CS, WM",,,
10.026883/SA,"CARNICAS CLAUDINO SANCHEZ, S.L.",Salamanca/GUIJUELO,RW,,,
10.026891/SA,"LAVANDERIA INDUSTRIAL MAYTE, S.L.",Salamanca/CAMPILLO DE SALVATIERRA,PP,,MP,
10.026892/SA,ALINA ROXANA URSU .,Salamanca/GUIJUELO,RW,,MP,
40.067411/BU,Mª LETICIA MARTINEZ PEREZ,Burgos/FUENTESPINA,CS,,,
10.026905/SA,"CARNICAS GARCIA IGLESIAS, S.L.U.",Salamanca/PUEBLA DE SAN MEDEL,RW,,,
10.026908/P,JAIME AMO APARICIO,Palencia/ASTUDILLO,PP,,MP,
12.023379/ZA,"TRANSFRIO RIAS BAIXAS, S.L.",Zamora/BENAVENTE,CS,,,
40.067854/VA,"JAMA FOOD, S.L.",Valladolid/VALLADOLID,CS,,,
10.026934/AV,"EMBUTIDOS CAROMEZ, S.L.",Ávila/SANCHIDRIAN,"MM, MP, PP",,MP,
10.026935/LE,"CARNICAS CARROBIERZO, S.L.",León/JIMENEZ DE JAMUZ,PP,,MP,
15.008458/VA,"CULTIVO DE ARRANQUE, S.L.",Valladolid/RAMIRO,PP,,,
10.026950/VA,"CARNICAS TERRABONA 2005, S.L.",Valladolid/VALLADOLID,"CS, PP",,MP,
10.026955/SG,"FRUCTUOSO AREVALO HERRERO, S.L.",Segovia/CANTIMPALOS,CS,,,
10.026974/SG,"PRODUCTOS PORCINOS SECUNDARIOS, S.A.",Segovia/VILLACASTIN,"CS, PP",,ST,
10.026987/VA,"MAKING ENERGY, S.L.N.E.",Valladolid/VILLALBA DE LOS ALCORES,CP,,,
26.019124/BU,"LA ROCA EVENTOS, S.L.U.",Burgos/MIRANDA DE EBRO,PP,,MP,
10.027001/SA,"EXPLOTACION GANADERA HERGOSAN, S.L.",Salamanca/GUIJUELO,"CS, RW, CP",,,
14.003428/P,DAVINIA PUERTAS IBAÑEZ,Palencia/TORQUEMADA,EPC,,,
10.027010/SA,"JOSE LUIS BERROCAL E HIJOS, S.L.",Salamanca/GALLEGOS DE SOLMIRON,PP,,MP,
10.027041/ZA,"MORALEJO SELECCION, S.L.U.",Zamora/ARCENILLAS,"CS, SH, CP","C, O",,
14.003437/SG,"FINCA LOS NOGALES, C.B.",Segovia/MUÑOVEROS,EPC,,,
14.003443/ZA,"MARTIN AVEDILLO, S.L.",Zamora/VILLALPANDO,EPC,,,
10.027091/SA,"SAT 9892 VALLEHERMOSO, S.R.L.",Salamanca/CARBAJOSA DE LA SAGRADA,"CS, RW",,MP,
10.027122/AV,VICENTE BERMEJO CORE,Ávila/BLASCOSANCHO,"MM, MP, PP",,MP,
12.023561/SA,"HELIX ZAMARRO, S.L.",Salamanca/CIUDAD RODRIGO,"CS, PP",,SN,
40.069476/VA,"DELIDUERO, S.L.",Valladolid/VALLADOLID,CS,,,
15.008510/BU,JUAN COBO FERNANDEZ,Burgos/VILLASANTE,PP,,,
10.027145/SG,"BARTOLOME PEROMINGO, S.L.",Segovia/SANTA MARIA LA REAL DE NIEVA,RW,,MP,
14.003454/SG,ARTURO PALOMO HERNANGOMEZ,Segovia/MARTIN MIGUEL,EPC,,,
10.027170/SA,ELISA ISABEL BARRIGA GOMEZ,Salamanca/MAYA (LA),"MM, MP, PP",,MP,
15.008524/VA,"NASADLA, S.L.",Valladolid/NUEVA VILLA DE LAS TORRES,PP,,,
40.069979/SO,"TRANSPORTES MONCAYO, S.L.",Soria/CARBONERA DE FRENTES,CS,,,
10.027193/P,"PRECOCINADOS Y EMBUTIDOS LA MONTAÑA DEL CRISTO, S.L.",Palencia/PALENCIA,"MM, MP, PP",,MP,
40.070045/LE,"GRUPO SIBUYA, S.L.",León/LEON,CS,,,
14.003462/AV,RODRIGO JIMENEZ AHIJADO,Ávila/AVILA,EPC,,,
40.070108/SG,JOSE JUAN VELAZQUEZ GARCIA,Segovia/LASTRILLA (LA),CS,,,
26.019628/LE,"KATEI ALIMENTACION, S.L.",León/VILLADANGOS DEL PARAMO,PP,,,
14.003466/AV,"GRANJA ECOLOGICA EL CARDENILLO, S.L.",Ávila/CANDELEDA,EPC,,,
10.027240/LE,"LONCHEADOS RILOR, S.L.",León/LEON,RW,,MP,
40.070477/P,"ARTESANOS QUESEROS PALENCIA, S.L.",Palencia/PALENCIA,"CS, RW",,,
40.070478/VA,"POSEIDON GOURMET, S.L.",Valladolid/CISTERNIGA,CS,,,
12.023695/LE,JOSE Mª RODRIGUEZ MARCOS,León/PONFERRADA,RW,,,
40.070705/SA,"MASLOFRI DUERO, S.L.",Salamanca/SALAMANCA,"CS, WM",,,
40.070723/P,"SENIOR SERVICIOS INTEGRALES, S.A.",Palencia/VENTA DE BAÑOS,CS,,,
15.008552/ZA,"QUESOS NIETO DE JUSTO TORRERO, S.COOP.",Zamora/BOVEDA DE TORO (LA),PP,,,
15.008560/LE,EDUARDO AMIGO ALBA,León/MATACHANA,PP,,,
40.070945/VA,"IZAAN FOOD, S.L.",Valladolid/VALLADOLID,CS,,,
10.027303/SA,"FERGOHER, S.L.",Salamanca/GUIJUELO,PP,,MP,
14.003477/SO,AGROVALDELUBIEL TCEA,Soria/BURGO DE OSMA (EL),EPC,,,
10.027309/SG,"HOLA FOOD, S.L.",Segovia/VILLACASTIN,"CS, SH, CP",P,,
15.008569/AV,JOSE Mª LOPEZ BLAZQUEZ,Ávila/BURGOHONDO,PP,,,
40.071189/AV,"GRUPO MARTINEZ LOPEZ 2018, S.L.",Ávila/ARENAS DE SAN PEDRO,CS,,,
15.008572/LE,AMABILIO ALVAREZ CHAMORRO,León/ZUARES DEL PARAMO,PP,,,
40.071201/VA,CARLOS BARCENILLAS IRAOLA,Valladolid/SIMANCAS,CS,,,
14.003481/VA,"MAGARSANZ, S.L.",Valladolid/CISTERNIGA,EPC,,,
15.008575/BU,ANDREA RAMOS ORCAJO,Burgos/VILLAESPASA,PP,,,
10.027328/SA,"DEHESA GARCIA, S.L.",Salamanca/GUIJUELO,PP,,MP,
15.008579/VA,"FONSECA MEDIERO, S.L.",Valladolid/FRESNO EL VIEJO,PP,,,
10.027347/SO,"PRODUCTOS CACHO RUIZ, S.L.",Soria/AGREDA,PP,,MP,
10.027375/SA,"FLORENCIO SANCHEZ E HIJOS, S.L.",Salamanca/CAMPILLO DE SALVATIERRA,"CS, RW, PP",,MP,
26.019980/ZA,"CARNICAS CASASECA, S.L.",Zamora/VALCABADO,PP,,MP,
10.027381/LE,"EMBUTIDOS FERPED, S.L.",León/HUERGA DE GARABALLES,"MM, MP, PP",,MP,
10.027382/LE,"FABRICA DE EMBUTIDOS Y JAMONES EZEQUIEL, S.L.",León/ROBLA (LA),"CP, PP",,MP,
