Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
15.03112/S,AGROCANTABRIA S.C.,Cantabria/BARCENA DE CARRIEDO,CC,,,
26.02816/S,FROXA SA,Cantabria/SANTIAGO,PP,,MP,
26.04794/S,JAVIER CAMPUZANO LAGUILLO,Cantabria/SANTANDER,PP,,MP,
26.04868/S,CANTDELIMAR S.C.,Cantabria/MALIAÑO,PP,,,
26.05537/S,CAPRICHOS DEL NORTE S.L.,Cantabria/PEÑACASTILLO,PP,,MP,
40.00235/S,FRIGORIFICOS ORTIZ S.A.,Cantabria/SANTANDER,CS,,,
40.00554/S,FRIGORIFICOS PEREZ BARANDICA S.L.,Cantabria/PEÑACASTILLO,CS,,,
40.01489/S,FRIOLOGIC SANTANDER SA,Cantabria/SANTANDER,"CS, RW",,,
40.03847/S,PESCADOS ANCO S.L.,Cantabria/SAN VICENTE DE LA BARQUERA,"CS, RW",,,
40.04178/S,EXCLUSIVAS ISAAC VELAR S.L.,Cantabria/CASTRO-URDIALES,"CS, RW",,,
40.04293/S,ABEL FERNANDEZ S.A.,Cantabria/SANTIAGO,CS,,,
40.06653/S,DIVISION ALIMENTARIA S.A.,Cantabria/PEÑACASTILLO,CS,,,
40.07203/S,HORNO SAN JOSE S.A.,Cantabria/CARTES,CS,,,
40.07869/S,COVIRAN S.C.A.,Cantabria/PEÑACASTILLO,CS,,,
40.08224/S,EMILIO MORENO S.L.,Cantabria/CASTRO-URDIALES,"CS, RW",,,
40.08966/S,COMERCIAL REDAMAR S.L.,Cantabria/SANTANDER,"CS, RW",,,
40.08997/S,JESMAR HIJOS S.L.,Cantabria/CAMARGO,"CS, RW",,,
40.09179/S,"CONGELADOS SB, SL",Cantabria/MURIEDAS,"CS, RW",,,
40.09185/S,JOSE ANTONIO GOMEZ LAVIN,Cantabria/MALIAÑO,CS,,,
40.09556/S,BLANDISMAN S.L.,Cantabria/MALIAÑO,CS,,,
40.10151/S,EXCLUSIVAS APOLO S.L.,Cantabria/REVILLA,CS,,,
40.10628/S,SEMARK AC GROUP S.A.,Cantabria/SANTANDER,CS,,,
40.11244/S,SUMINISTROS DE HOSTELERIA EL OJANCANO SL,Cantabria/COLINDRES,CS,,,
40.11306/S,EMBUTIDOS ROYSA S.L.,Cantabria/TORRELAVEGA,CS,,,
40.11350/S,SEMARK AC GROUP S.A.,Cantabria/CARTES,CS,,,
40.11474/S,CORPORACION LACTEA DEL NORTE S.A.,Cantabria/GUARNIZO,CS,,,
40.11515/S,CEGAR S.A.,Cantabria/SANTANDER,CS,,,
40.11537/S,EMBUTIDOS Y JAMONES CASTRO SERRANO S.L.,Cantabria/CASTRO-URDIALES,"CS, RW",,,
40.11686/S,COMERCIAL SENY S.L.,Cantabria/ENTRAMBASAGUAS,CS,,,
40.11729/S,C.B. ROBERTO Y CARLOS GUTIERREZ,Cantabria/CORRALES DE BUELNA (LOS),CS,,,
40.11730/S,ROJO Y VEGAS CANTABRIA S.L.,Cantabria/SANTA CRUZ DE BEZANA,CS,,,
40.11755/S,EMBUTIDOS LA PEPITA S.L.,Cantabria/TANOS,CS,,,
40.12071/S,MAKRO AUTOSERVICIO MAYORISTA S.A.,Cantabria/MALIAÑO,"CS, RW",,,
40.12357/S,GOURMET IMPORT EXPORT SL,Cantabria/SANTA CRUZ DE BEZANA,"CS, RW",,,
40.13067/S,EXCLUSIVAS SALAN S.L.,Cantabria/BARROS,"CS, RW",,,
40.13145/S,EXCLUSIVAS LA AURORA SL,Cantabria/MALIAÑO,CS,,,
12.10667/S,CONSERVAS HOYO C.B.,Cantabria/LAREDO,PP,,,
12.10670/S,CONSERVAS LA MACHINA SL,Cantabria/SANTOÑA,PP,,,
15.03926/S,THOMAS SALCINES SL,Cantabria/CARASA,"CS, PP",,,
12.10795/S,ARRONTE E HIJO S.L.,Cantabria/SANTOÑA,PP,,,
10.15079/S,FRANCISCO JAVIER DIAZ SAÑUDO,Cantabria/CORVERA DE TORANZO,"MM, MP",,,
12.11068/S,CONSERVAS LA ABUELA MARIA SL,Cantabria/SANTOÑA,"RW, PP",,,
12.11197/S,MARIA ASUNCION VELAR VILLAR,Cantabria/CASTRO-URDIALES,PP,,,
40.15418/S,ELMAR FROZEN FOOD SLU,Cantabria/HERAS,CS,,,
40.15499/S,SOMAGAR S.L.,Cantabria/IGOLLO,CS,,,
12.11544/S,TRUCHAS DEL SAJA SL,Cantabria/RUENTE,FFP,,,
12.11553/S,COFRADIA DE PESCADORES DE COMILLAS,Cantabria/COMILLAS,AH,,,
40.16084/S,DISTRIBUCIONES FRIGORIFICAS HERMANOS MESONES S.L.,Cantabria/CAMARGO,CS,,,
40.16179/S,JOSE ANGEL CAMPOLLO GUERRA,Cantabria/SANTA CRUZ DE BEZANA,CS,,,
10.16017/S,CARNICAS LA CASONA S.L.,Cantabria/GUARNIZO,"RW, MM, MP, PP",,MP,
