"Nº RGSEAA (*)","Razón Social","Provincia/Localidad","Actividades","Especies (**)","Otros Detalles","TSE Feed Ban"
"12.06494/LU","RIVAS SEIVANE, SL","Lugo/BURELA","RW, PP",,,
"12.06496/GE","PEIXOS DE PALAMOS SL","Girona/PALAMOS","CS, PP, FFP",,,
"12.06504/M","MARTIN ESQUIVIAS, LUIS","Madrid/MADRID","CS, WM",,,
"12.06508/M","PRODUCTOS DEL MAR PABLOS, S.L.U.","Madrid/MADRID","RW, WM",,,
"12.06513/TF","PESCADOS GOYO S.L.","Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE","CS, RW, PP",,,
"12.06515/H","SALOMON E HIJOS C.B.","Huelva/AYAMONTE","RW, FFP",,,
"12.06516/M","PRIETO Y ARRANZ, S.L.","Madrid/MADRID","RW, PP, FFP",,,
"12.06570/C","MARISCOS A INSUA SL","Coruña, A/MUROS","RW",,,
"12.06574/C","CURRO PESCA, S.L.","Coruña, A/CARNOTA","RW, DC, PC",,,
"12.06579/LU","PESCADOS BLAS PARADELA, S. L. U.","Lugo/BURELA","RW, FFP",,,
"12.06583/S","PESCADOS BARANDICA S.A.","Cantabria/PEÑACASTILLO","CS, PP, FFP",,,
"12.06584/MU","FRIOMED, S.A.","Murcia/PALMAR (EL) O LUGAR DE DON JUAN","CS, PP, FFP",,,
"12.06587/TF","SOCIEDAD COOPERATIVA DEL MAR PESCARESTINGA","Santa Cruz de Tenerife/PINAR DE EL HIERRO (EL)","CS",,,
"12.06591/C","VAZQUEZ TRIGO AMPARO","Coruña, A/ORDES","RW",,,
"12.06593/A","COFRADIA DE PESCADORES DE CALPE","Alicante/Alacant/CALP","CS, AH",,,
"12.06600/V","DISTRIBUIDORA MARISCOS RODRIGUEZ S.A.","Valencia/València/VALENCIA","CS",,,
"12.06601/V","PESCADOS MERCALPVALENCIA, S.L.","Valencia/València/VALENCIA","CS",,,
"12.06603/V","DIALPESCA CASTELLANOS, S.A.","Valencia/València/VALENCIA","CS",,,
"12.06621/M","PESCADOS Y MARISCOS VELASCO Y ESPINOS, S.L.","Madrid/MADRID","CS, WM",,,
"12.06625/SE","FERNANDO MOLINA S.L.","Sevilla/UTRERA","CS, RW, PP",,,
"12.06630/S","PESCADOS Y MARISCOS EMILIO S.A.","Cantabria/SANTANDER","CS, PP",,,
"12.06631/A","PESCADOS AMARO GONZALEZ, S.A.","Alicante/Alacant/ALICANTE/ALACANT","CS, FFP",,,
"12.06632/A","MAR MENOR DISTRIBUCIONES ALIMENTARIAS, S.L.","Alicante/Alacant/ALICANTE/ALACANT","CS",,,
"12.06637/CA","PEREZ RAMOS, SALVADOR","Cádiz/SANLUCAR DE BARRAMEDA","CS, PP, FFP",,,
"12.06639/H","AUTORIDAD PORTUARIA DE HUELVA","Huelva/HUELVA","WM, AH",,,
"12.06648/C","FRINSA DEL NOROESTE, S.A.","Coruña, A/RIBEIRA","CS, PP, FFP",,,
"12.06665/GC","CUBAMAR, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","CS",,,
"12.06687/OR","ANTELA FISH, SL","Ourense/SANDIAS","CS",,,
"12.06690/B","VIDELA CONSIGNACIONES SA","Barcelona/BARCELONA","WM, FFP",,,
"12.06693/B","SARDANET SL","Barcelona/BARCELONA","WM, FFP",,,
"12.06694/B","GARCIA I REQUENI SA","Barcelona/BARCELONA","WM, FFP",,,
"12.06698/B","PI MANSERGAS ALCARRAZ SA","Barcelona/BARCELONA","WM, FFP",,,
